"t (s)","Inclination (deg)","Rotation (deg)"
5.013381250e-1,5.506046963e-1,-5.180830008e1
1.002678375e0,5.791727462e-1,-4.603052090e1
1.504017375e0,3.673907889e-1,-5.667618248e1
2.005355958e0,3.030110330e-1,-1.104380682e2
2.514179958e0,3.786000047e-1,-1.282298613e2
3.022898583e0,3.496647999e-1,-1.131941498e2
3.531618583e0,3.322126808e-1,-9.782088377e1
4.040301875e0,4.985297572e-1,-4.944695126e1
4.548986875e0,7.351130994e-1,-3.366068412e1
5.057694583e0,7.707767062e-1,-3.622255716e1
5.566399583e0,6.685904751e-1,-3.614518459e1
6.075952250e0,5.824351375e-1,-3.849358079e1
6.577288250e0,6.019815013e-1,-4.052109263e1
7.078620500e0,5.989530195e-1,-4.769866180e1
8.081015333e0,5.788167054e-1,-4.648383670e1
8.589731333e0,5.828444437e-1,-4.658154857e1
9.098429833e0,5.722735017e-1,-4.539323954e1
9.607112833e0,5.831029761e-1,-4.694247839e1
1.011581346e1,5.890186692e-1,-4.798990411e1
1.062451846e1,5.966282113e-1,-4.780564966e1
1.113319446e1,5.842553065e-1,-4.750095176e1
1.164190246e1,5.850580882e-1,-4.698388386e1
1.215064121e1,5.913939425e-1,-4.820781449e1
1.265936921e1,5.850706181e-1,-4.738986300e1
1.316807771e1,5.824978362e-1,-4.730668096e1
1.367679271e1,5.825618136e-1,-4.786132953e1
1.418549871e1,5.791838934e-1,-4.783223032e1
1.469417871e1,5.893518443e-1,-4.831464964e1
1.571149596e1,5.995803758e-1,-4.978662241e1
1.622016288e1,6.051324251e-1,-4.919792138e1
1.672879888e1,6.151283371e-1,-4.861988122e1
1.723744925e1,6.089145309e-1,-4.999602519e1
1.774609525e1,6.348738396e-1,-5.233123003e1
1.825475621e1,6.232457902e-1,-5.127989004e1
1.876341121e1,5.240120192e-1,-4.279372049e1
1.927206971e1,5.560571185e-1,-4.171300026e1
1.977319671e1,1.698873528e0,-2.999573521e1
2.027452896e1,4.653453924e0,-3.014755414e1
2.077586196e1,4.123028576e0,-2.715346168e1
2.127719533e1,6.591208610e0,-1.687293763e1
2.177852733e1,9.097584216e0,-1.400047459e1
2.227985950e1,1.046990903e1,-1.210985920e1
2.278119150e1,1.243814746e1,-1.091048746e1
2.378385700e1,2.945473533e0,-1.907828567e1
2.428518875e1,2.092921382e0,-3.409727096e1
2.478652075e1,2.067686155e0,-3.587106518e1
2.528785250e1,2.036287291e0,-3.547425617e1
2.578918450e1,2.491857837e0,-3.038636893e1
2.629051746e1,6.060796884e0,-1.136509777e1
2.679184846e1,9.771248799e0,-7.288360594e0
2.729317921e1,1.250772570e1,-8.419510355e0
2.779451021e1,3.087109885e0,-1.739518753e1
2.829584246e1,2.013616172e0,-3.409291200e1
2.879717346e1,1.971252687e0,-3.811925149e1
2.929850458e1,1.870621870e0,-3.799530774e1
3.030116700e1,4.310169891e0,-1.747449455e1
3.080249800e1,8.148704457e0,-8.620518808e0
3.130382846e1,1.234744231e1,-7.106112502e0
3.180515946e1,2.124635401e0,-2.326692736e1
3.230648971e1,1.672880449e0,-3.727369532e1
3.280782071e1,1.695578442e0,-3.728711269e1
3.330915108e1,2.262692053e0,-2.965191831e1
3.381048208e1,6.649478925e0,-1.026197126e1
3.431181171e1,1.127307628e1,-6.268662237e0
3.481314271e1,7.383857090e0,-9.934314531e0
3.531447613e1,1.531315803e0,-3.583718030e1
3.581580612e1,1.459346361e0,-3.827039309e1
3.681846250e1,5.329382185e0,-1.461540490e1
3.731979208e1,1.026111165e1,-8.260141588e0
3.782112208e1,1.292531865e1,-6.189886242e0
3.832245238e1,1.725254015e0,-4.312042101e1
3.882378238e1,1.558321382e0,-3.810283161e1
3.932511163e1,2.738578700e0,-2.307098766e1
3.982644163e1,9.057745516e0,-9.023688962e0
4.032777096e1,1.376179277e1,-7.781580755e0
4.082910096e1,2.258917818e0,-2.091980556e1
4.133042971e1,1.606360478e0,-3.708159800e1
4.183175971e1,2.181823118e0,-3.143588577e1
4.233309196e1,7.801838382e0,-1.281350240e1
4.283442096e1,1.231520678e1,-9.566979842e0
4.383707546e1,1.608023864e0,-3.624198103e1
4.433840446e1,2.014959973e0,-3.179395947e1
4.483973346e1,7.017730164e0,-1.140706923e1
4.534106321e1,1.072473625e1,-7.442789796e0
4.584239221e1,6.388069032e0,-1.165032503e1
4.634372133e1,1.641055588e0,-3.429292456e1
4.684504933e1,1.730436406e0,-3.520366564e1
4.734637750e1,4.742424356e0,-1.787749788e1
