"t (s),""Inclination (deg)"",""Rotation (deg)"""
5.013181250e-1,8.666143045e-1,-1.935493115e1
1.002637125e0,8.569514940e-1,-1.963402310e1
1.503956875e0,8.545495835e-1,-1.959016052e1
2.005275875e0,8.589653174e-1,-1.999560035e1
2.514167500e0,8.673396040e-1,-2.038717634e1
3.022839500e0,8.647026864e-1,-2.050602098e1
3.531528875e0,8.586647092e-1,-2.067857899e1
4.040181875e0,8.569678566e-1,-2.062942397e1
4.548823500e0,8.227647049e-1,-2.172265245e1
5.057506500e0,8.083373225e-1,-2.307224077e1
5.566189042e0,7.802008160e-1,-2.408013744e1
6.074842042e0,7.719204794e-1,-2.465374874e1
6.583524417e0,7.813719572e-1,-2.556125179e1
7.092213417e0,7.785612836e-1,-2.485341223e1
7.600887625e0,7.740047356e-1,-2.532957760e1
8.618262500e0,7.819121239e-1,-2.521843720e1
9.126942500e0,7.812691484e-1,-2.507727157e1
9.635632500e0,7.774595823e-1,-2.531982246e1
1.014430550e1,7.811032511e-1,-2.552075662e1
1.065294992e1,7.749300991e-1,-2.516144771e1
1.116159992e1,7.721648951e-1,-2.515994966e1
1.167025375e1,7.790928206e-1,-2.560090401e1
1.217893075e1,7.745567736e-1,-2.515296689e1
1.268757167e1,7.729093502e-1,-2.497343576e1
1.319622967e1,7.755628055e-1,-2.543667830e1
1.370489200e1,7.725516962e-1,-2.531971172e1
1.421362200e1,7.791366470e-1,-2.513882442e1
1.472233929e1,7.728154640e-1,-2.543646927e1
1.523106029e1,7.779346397e-1,-2.587492415e1
1.573977588e1,7.799094412e-1,-2.540106748e1
1.624845988e1,7.858374681e-1,-2.531228618e1
1.675714113e1,7.767917017e-1,-2.609279557e1
1.777440800e1,7.787911823e-1,-2.552908428e1
1.828307100e1,7.789578158e-1,-2.564036701e1
1.879174225e1,7.698496654e-1,-2.515349001e1
1.930043625e1,7.740882245e-1,-2.538888131e1
1.980914417e1,7.700183890e-1,-2.534617594e1
2.031785550e1,7.753734566e-1,-2.492173558e1
2.082656350e1,7.758253015e-1,-2.489982953e1
2.133525717e1,7.763804169e-1,-2.527950803e1
2.184397717e1,7.706854951e-1,-2.545179644e1
2.235272425e1,7.749728425e-1,-2.494127663e1
2.286147325e1,7.761290125e-1,-2.564544833e1
2.337021513e1,7.732144509e-1,-2.493809817e1
2.387893713e1,7.755129817e-1,-2.519936447e1
2.438766917e1,7.784471491e-1,-2.543917284e1
