"t (s)","Inclination (deg)","Rotation (deg)"
5.014010000e-1,9.715466383e-1,-1.283114192e1
1.002800500e0,9.635922934e-1,-1.552042712e1
1.504201500e0,9.704511083e-1,-1.597881886e1
2.005602000e0,9.627439079e-1,-1.569739852e1
2.507002000e0,9.716956514e-1,-1.621201547e1
3.008401042e0,9.742349228e-1,-1.743302066e1
3.509801042e0,9.815209041e-1,-1.798072071e1
4.011201000e0,9.784302382e-1,-1.793878141e1
4.511645000e0,9.796733267e-1,-1.795513502e1
5.020425750e0,9.779202798e-1,-1.816565729e1
5.529199750e0,9.758455835e-1,-1.787249515e1
6.037958000e0,9.732981019e-1,-1.751229836e1
6.546712000e0,9.818049229e-1,-1.742584161e1
7.055460250e0,9.729841411e-1,-1.742578185e1
8.072956750e0,9.722070331e-1,-1.798178509e1
8.581725750e0,9.802781454e-1,-1.784652121e1
9.090490250e0,9.820047126e-1,-1.721192595e1
9.599232250e0,9.773117558e-1,-1.736925217e1
1.010797229e1,9.767133014e-1,-1.698234926e1
1.061674729e1,9.780434981e-1,-1.771832669e1
1.112548929e1,9.834658715e-1,-1.854749537e1
1.163421829e1,9.835309694e-1,-1.688593452e1
1.214294200e1,9.634126845e-1,-1.440120036e1
1.265166600e1,9.577903260e-1,-1.250602911e1
1.316037312e1,9.959157744e-1,-1.243777111e1
1.366050712e1,1.699401676e0,-1.648388672e1
1.416190275e1,3.685903698e0,-1.390829290e1
1.466329775e1,7.102895739e0,-5.128227323e0
1.566608817e1,1.151842335e1,-3.746064024e0
1.616748375e1,1.307884590e1,-3.217765209e0
1.666887875e1,7.189660576e0,-6.528602728e0
1.717027375e1,3.551721515e0,-1.168620442e1
1.767166875e1,2.391503901e0,-1.183440188e1
1.817306212e1,1.103789023e0,-7.212206443e0
1.867445612e1,1.035074257e0,-1.025213384e1
1.917585154e1,9.965408371e-1,-1.185724335e1
1.967724554e1,9.814859157e-1,-1.111817151e1
2.017863979e1,9.358995535e-1,-9.033507895e0
2.118142467e1,2.303987016e0,-1.591408634e1
2.168281767e1,4.769611774e0,-1.261696456e1
2.218421087e1,7.550032897e0,-6.954211076e0
2.268560387e1,9.454940220e0,-5.281616790e0
2.318699625e1,3.765615545e0,-1.058733099e1
2.368838925e1,1.142088639e0,-1.041672069e1
2.418978279e1,9.741344954e-1,-2.935726141e0
2.469117579e1,3.280762868e0,-1.602034167e1
2.519256625e1,6.825708149e0,-7.234453694e0
2.569395825e1,1.005526684e1,-4.240317157e0
2.619535042e1,6.250498630e0,-6.412901905e0
2.669674242e1,1.109879420e0,3.139042075e0
2.769952550e1,1.606222515e0,-1.115513322e1
2.820091617e1,5.247587407e0,-9.865241991e0
2.870230717e1,9.511181101e0,-3.918999744e0
2.920369787e1,8.270766947e0,-4.579656197e0
2.970508887e1,1.841410731e0,-3.332365010e0
3.020647900e1,1.125561857e0,1.177609503e0
3.070786900e1,1.833269861e0,-9.807899411e0
3.120925854e1,5.255671356e0,-1.088936813e1
3.171064854e1,8.842253581e0,-4.190685269e0
3.221203829e1,1.051441619e1,-4.020786002e0
3.271342829e1,3.285459054e0,-2.458145007e0
3.371620662e1,1.603135336e0,-6.195902502e0
3.421759467e1,4.493402670e0,-1.094431308e1
3.471898367e1,8.442763581e0,-3.695255704e0
3.522037500e1,9.780217250e0,-4.687530572e0
3.572176300e1,2.321047839e0,-2.581778659e0
3.622314779e1,1.105359560e0,2.290219456e-1
3.672453579e1,9.283456482e-1,2.336533695e0
3.722592425e1,2.265391000e0,-1.076077961e1
3.772731225e1,5.308442492e0,-6.448445836e0
3.822869954e1,7.631997665e0,-2.901375740e0
3.873008754e1,1.005837152e1,-2.297791646e0
3.973286100e1,3.230791237e0,-3.973813544e0
4.023424675e1,1.219276077e0,3.960614955e0
